coverage_id,layer_id,quote_id,pas_id,_pdm_last_update_timestamp,quote_name,new_renewal,section,coverage,subcoveragecode,inception_date,expiry_date,exposure,exposure_type,limit,limit_type,excess,deductible_value,deductible_type,claims_trigger,policy_coverage_jurisdiction,primary_coverage
Q00001-L1-C1,Q00001-L1,Q00001,PAS-000001,2026-04-25 22:00:00.000,Jamieson Capital LLC 2025,Renewal,European Professional Indemnity,Cyber,SC-870,2025-01-21,2026-01-21,32262001.47,TIV,14363871.62,Each Claim,491437.77,162766.49,Aggregate,Losses Discovered,Worldwide excl. US,true
Q00001-L2-C1,Q00001-L2,Q00001,PAS-000001,2026-04-25 22:00:00.000,Jamieson Capital LLC 2025,Renewal,European Professional Indemnity,Cyber,SC-723,2025-01-21,2026-01-21,5378842.81,Turnover,1095850.0,Each Claim,87620.66,25785.53,Each and Every Loss,Losses Discovered,Worldwide,true
Q00001-L2-C2,Q00001-L2,Q00001,PAS-000001,2026-04-25 22:00:00.000,Jamieson Capital LLC 2025,Renewal,European Professional Indemnity,Professional Indemnity,SC-183,2025-01-21,2026-01-21,86800826.8,Number of Insureds,22953439.43,Each Claim,3826741.49,1036825.33,Aggregate,Occurrence,EU only,false
Q00002-L1-C1,Q00002-L1,Q00002,PAS-000002,2026-04-25 22:00:00.000,Carrington Group plc 2025,Renewal,Contingency,Event Cancellation,SC-959,2025-08-10,2026-08-10,643457.91,Number of Insureds,268467.03,Each Claim,9148.26,6124.72,Aggregate,Occurrence,US excl. Worldwide,true
Q00002-L2-C1,Q00002-L2,Q00002,PAS-000002,2026-04-25 22:00:00.000,Carrington Group plc 2025,Renewal,Contingency,Event Cancellation,SC-296,2025-08-10,2026-08-10,3008700.89,Turnover,319354.76,Each and Every Loss,10838.71,6116.78,Each and Every Loss,Occurrence,Worldwide excl. US,true
Q00003-L1-C1,Q00003-L1,Q00003,PAS-000003,2026-04-25 22:00:00.000,Jamieson Group plc 2025,Renewal,Cash in Transit and Specie,Cash in Transit,SC-940,2025-10-25,2026-10-25,6443973.43,Number of Insureds,3164336.38,Each Claim,175686.74,153146.06,Each and Every Loss,Claims Made,US excl. Worldwide,true
Q00003-L1-C2,Q00003-L1,Q00003,PAS-000003,2026-04-25 22:00:00.000,Jamieson Group plc 2025,Renewal,Cash in Transit and Specie,Vault,SC-788,2025-10-25,2026-10-25,2584452.08,Number of Insureds,871725.99,Each and Every Loss,11835.28,5610.76,Each and Every Loss,Losses Discovered,EU only,false
Q00004-L1-C1,Q00004-L1,Q00004,PAS-000004,2026-04-25 22:00:00.000,Jamieson Partners LLP 2025,Renewal,Cash in Transit and Specie,Cash in Transit,SC-809,2025-02-20,2026-02-20,8083293.24,Wage Roll,640780.4,Each Claim,28836.1,8792.53,Aggregate,Claims Made,Worldwide,true
Q00004-L2-C1,Q00004-L2,Q00004,PAS-000004,2026-04-25 22:00:00.000,Jamieson Partners LLP 2025,Renewal,Cash in Transit and Specie,Vault,SC-964,2025-02-20,2026-02-20,6163238.75,Number of Insureds,2195999.93,Each Claim,97981.55,97221.3,Each and Every Loss,Occurrence,UK only,true
Q00004-L3-C1,Q00004-L3,Q00004,PAS-000004,2026-04-25 22:00:00.000,Jamieson Partners LLP 2025,Renewal,Cash in Transit and Specie,Vault,SC-559,2025-02-20,2026-02-20,3983937.72,Wage Roll,1035680.49,Each and Every Loss,78218.47,19379.78,Aggregate,Occurrence,EU only,true
Q00005-L1-C1,Q00005-L1,Q00005,PAS-000005,2026-04-25 22:00:00.000,Drummond Partners LLP 2025,New,Directors and Officers,Side B/C,SC-176,2025-07-11,2026-07-11,22246911.27,Turnover,1163995.72,Each Claim,16276.72,12263.62,Each and Every Loss,Losses Discovered,UK only,true
Q00006-L1-C1,Q00006-L1,Q00006,PAS-000006,2026-04-25 22:00:00.000,Northwood Holdings Ltd 2025,Renewal,Cash in Transit and Specie,Cash in Transit,SC-210,2025-12-07,2026-12-07,6700758.81,Number of Insureds,524534.44,Each and Every Loss,18446.28,16595.98,Aggregate,Occurrence,US excl. Worldwide,true
Q00007-L1-C1,Q00007-L1,Q00007,PAS-000007,2026-04-25 22:00:00.000,Eastleigh Capital LLC 2024,Renewal,European Professional Indemnity,Cyber,SC-692,2024-11-12,2025-11-12,11632278.88,Wage Roll,5600490.9,Each and Every Loss,1003320.66,234063.32,Aggregate,Claims Made,UK only,true
Q00007-L1-C2,Q00007-L1,Q00007,PAS-000007,2026-04-25 22:00:00.000,Eastleigh Capital LLC 2024,Renewal,European Professional Indemnity,Professional Indemnity,SC-408,2024-11-12,2025-11-12,34031008.4,Turnover,15740072.04,Each and Every Loss,1399161.72,306811.17,Each and Every Loss,Occurrence,Worldwide,false
Q00007-L2-C1,Q00007-L2,Q00007,PAS-000007,2026-04-25 22:00:00.000,Eastleigh Capital LLC 2024,Renewal,European Professional Indemnity,Cyber,SC-338,2024-11-12,2025-11-12,33889058.85,Number of Insureds,3247331.35,Aggregate,14656.35,12124.59,Each and Every Loss,Losses Discovered,UK only,true
Q00007-L2-C2,Q00007-L2,Q00007,PAS-000007,2026-04-25 22:00:00.000,Eastleigh Capital LLC 2024,Renewal,European Professional Indemnity,Professional Indemnity,SC-564,2024-11-12,2025-11-12,15956116.24,Number of Insureds,5278341.82,Each Claim,350099.75,122548.06,Each and Every Loss,Occurrence,Worldwide,false
Q00007-L3-C1,Q00007-L3,Q00007,PAS-000007,2026-04-25 22:00:00.000,Eastleigh Capital LLC 2024,Renewal,European Professional Indemnity,Cyber,SC-752,2024-11-12,2025-11-12,1331412.65,Turnover,418750.59,Each Claim,2764.43,2634.91,Each and Every Loss,Losses Discovered,US excl. Worldwide,true
Q00008-L1-C1,Q00008-L1,Q00008,PAS-000008,2026-04-25 22:00:00.000,Jamieson Industries Inc 2024,Renewal,Contingency,Non-Appearance,SC-546,2024-12-02,2025-12-02,2471542.72,Turnover,814083.91,Each and Every Loss,12763.1,8230.59,Each and Every Loss,Occurrence,EU only,true
Q00008-L2-C1,Q00008-L2,Q00008,PAS-000008,2026-04-25 22:00:00.000,Jamieson Industries Inc 2024,Renewal,Contingency,Non-Appearance,SC-398,2024-12-02,2025-12-02,12344379.66,Wage Roll,2345860.58,Aggregate,427014.81,104099.61,Aggregate,Losses Discovered,Worldwide excl. US,true
Q00009-L1-C1,Q00009-L1,Q00009,PAS-000009,2026-04-25 22:00:00.000,Carrington Partners LLP 2025,Renewal,European Professional Indemnity,Cyber,SC-755,2025-03-28,2026-03-28,16379515.81,Turnover,5666568.23,Aggregate,89321.68,45816.58,Aggregate,Claims Made,US excl. Worldwide,true
Q00010-L1-C1,Q00010-L1,Q00010,PAS-000010,2026-04-25 22:00:00.000,Aldermann Resources Ltd 2025,Renewal,General Aviation,Hull,SC-443,2025-04-05,2026-04-05,3995532.4,Number of Insureds,813883.42,Each Claim,103730.74,27448.34,Aggregate,Losses Discovered,EU only,true
Q00010-L1-C2,Q00010-L1,Q00010,PAS-000010,2026-04-25 22:00:00.000,Aldermann Resources Ltd 2025,Renewal,General Aviation,War,SC-809,2025-04-05,2026-04-05,2299989.71,Turnover,282958.52,Aggregate,27359.18,6581.84,Each and Every Loss,Claims Made,US excl. Worldwide,false
Q00011-L1-C1,Q00011-L1,Q00011,PAS-000011,2026-04-25 22:00:00.000,Maitland Capital LLC 2025,Renewal,Contingency,Event Cancellation,SC-288,2025-05-21,2026-05-21,2497292.26,TIV,649150.0,Each Claim,21714.08,7428.73,Aggregate,Claims Made,UK only,true
Q00012-L1-C1,Q00012-L1,Q00012,PAS-000012,2026-04-25 22:00:00.000,Carrington Capital LLC 2025,New,Cash in Transit and Specie,Cash in Transit,SC-390,2025-07-09,2026-07-09,12792844.44,TIV,3832879.77,Each and Every Loss,84443.96,30577.55,Each and Every Loss,Claims Made,US excl. Worldwide,true
Q00012-L1-C2,Q00012-L1,Q00012,PAS-000012,2026-04-25 22:00:00.000,Carrington Capital LLC 2025,New,Cash in Transit and Specie,Vault,SC-122,2025-07-09,2026-07-09,5301042.65,TIV,680473.5,Each Claim,117043.03,30201.95,Each and Every Loss,Claims Made,US excl. Worldwide,false
Q00012-L2-C1,Q00012-L2,Q00012,PAS-000012,2026-04-25 22:00:00.000,Carrington Capital LLC 2025,New,Cash in Transit and Specie,Cash in Transit,SC-345,2025-07-09,2026-07-09,16784973.68,Turnover,997819.56,Aggregate,85836.9,34120.61,Each and Every Loss,Occurrence,UK only,true
Q00013-L1-C1,Q00013-L1,Q00013,PAS-000013,2026-04-25 22:00:00.000,Drummond Technologies Inc 2025,New,Contingency,Non-Appearance,SC-233,2025-10-20,2026-10-20,798827.69,Number of Insureds,330929.94,Each Claim,52639.53,11047.94,Each and Every Loss,Claims Made,US excl. Worldwide,true
Q00014-L1-C1,Q00014-L1,Q00014,PAS-000014,2026-04-25 22:00:00.000,Langford Industries Inc 2025,Renewal,Contingency,Event Cancellation,SC-908,2025-03-28,2026-03-28,7090074.13,Wage Roll,1548577.73,Each and Every Loss,230881.38,47042.55,Each and Every Loss,Losses Discovered,Worldwide excl. US,true
Q00015-L1-C1,Q00015-L1,Q00015,PAS-000015,2026-04-25 22:00:00.000,Jamieson Holdings Ltd 2025,Renewal,Contingency,Event Cancellation,SC-903,2025-08-07,2026-08-07,12422828.3,Wage Roll,2002898.34,Each Claim,135230.79,63779.29,Aggregate,Claims Made,Worldwide,true
Q00015-L1-C2,Q00015-L1,Q00015,PAS-000015,2026-04-25 22:00:00.000,Jamieson Holdings Ltd 2025,Renewal,Contingency,Non-Appearance,SC-829,2025-08-07,2026-08-07,1171772.89,TIV,92796.06,Aggregate,9634.45,2405.47,Aggregate,Claims Made,Worldwide excl. US,false
Q00016-L1-C1,Q00016-L1,Q00016,PAS-000016,2026-04-25 22:00:00.000,Hartwell Resources Ltd 2025,Renewal,Cash in Transit and Specie,Vault,SC-765,2025-05-13,2026-05-13,6552954.57,Number of Insureds,1877185.92,Aggregate,223458.95,46331.87,Aggregate,Losses Discovered,EU only,true
Q00017-L1-C1,Q00017-L1,Q00017,PAS-000017,2026-04-25 22:00:00.000,Kingsley Technologies Inc 2025,Renewal,General Aviation,Hull,SC-663,2025-07-24,2026-07-24,8788076.78,Number of Insureds,2227215.3,Aggregate,52119.69,27806.44,Each and Every Loss,Occurrence,Worldwide excl. US,true
Q00018-L1-C1,Q00018-L1,Q00018,PAS-000018,2026-04-25 22:00:00.000,Bridgeford Partners LLP 2025,Renewal,Contingency,Event Cancellation,SC-736,2025-02-13,2026-02-13,38696075.81,TIV,4273929.02,Each and Every Loss,60758.98,21871.32,Each and Every Loss,Occurrence,EU only,true
Q00018-L2-C1,Q00018-L2,Q00018,PAS-000018,2026-04-25 22:00:00.000,Bridgeford Partners LLP 2025,Renewal,Contingency,Non-Appearance,SC-371,2025-02-13,2026-02-13,1832289.72,Number of Insureds,428808.47,Each and Every Loss,39312.09,17332.75,Each and Every Loss,Occurrence,US excl. Worldwide,true
Q00019-L1-C1,Q00019-L1,Q00019,PAS-000019,2026-04-25 22:00:00.000,Glenshire Group plc 2024,Renewal,Cash in Transit and Specie,Cash in Transit,SC-173,2024-11-10,2025-11-10,8266477.59,Turnover,1749119.05,Aggregate,38516.23,8812.95,Each and Every Loss,Claims Made,Worldwide,true
Q00020-L1-C1,Q00020-L1,Q00020,PAS-000020,2026-04-25 22:00:00.000,Northwood Group plc 2025,Renewal,European Professional Indemnity,Cyber,SC-367,2025-04-17,2026-04-17,9571696.77,TIV,1325592.38,Each and Every Loss,50211.2,22711.14,Each and Every Loss,Losses Discovered,EU only,true
Q00020-L2-C1,Q00020-L2,Q00020,PAS-000020,2026-04-25 22:00:00.000,Northwood Group plc 2025,Renewal,European Professional Indemnity,Professional Indemnity,SC-879,2025-04-17,2026-04-17,5863310.59,Number of Insureds,2325003.41,Aggregate,82178.41,34434.27,Each and Every Loss,Occurrence,EU only,true
Q00021-L1-C1,Q00021-L1,Q00021,PAS-000021,2026-04-25 22:00:00.000,Northwood Capital LLC 2024,New,Directors and Officers,Side A,SC-420,2024-11-08,2025-11-08,6262207.22,Number of Insureds,904536.75,Each Claim,37710.99,11263.69,Aggregate,Occurrence,Worldwide,true
Q00021-L1-C2,Q00021-L1,Q00021,PAS-000021,2026-04-25 22:00:00.000,Northwood Capital LLC 2024,New,Directors and Officers,Side B/C,SC-130,2024-11-08,2025-11-08,24450424.69,Number of Insureds,10528615.73,Each and Every Loss,1104889.54,231743.84,Aggregate,Occurrence,EU only,false
Q00021-L2-C1,Q00021-L2,Q00021,PAS-000021,2026-04-25 22:00:00.000,Northwood Capital LLC 2024,New,Directors and Officers,Side B/C,SC-802,2024-11-08,2025-11-08,18477546.31,TIV,3464676.13,Aggregate,386060.73,128721.2,Each and Every Loss,Occurrence,UK only,true
Q00022-L1-C1,Q00022-L1,Q00022,PAS-000022,2026-04-25 22:00:00.000,Eastleigh Group plc 2025,Renewal,General Aviation,Liability,SC-438,2025-04-03,2026-04-03,23769914.85,Turnover,9348201.48,Each Claim,715954.01,325648.45,Each and Every Loss,Claims Made,US excl. Worldwide,true
Q00023-L1-C1,Q00023-L1,Q00023,PAS-000023,2026-04-25 22:00:00.000,Fenwick Capital LLC 2024,Renewal,Contingency,Non-Appearance,SC-195,2024-09-24,2025-09-24,9777549.19,Turnover,2207636.32,Aggregate,105246.37,60025.72,Aggregate,Losses Discovered,Worldwide excl. US,true
Q00023-L2-C1,Q00023-L2,Q00023,PAS-000023,2026-04-25 22:00:00.000,Fenwick Capital LLC 2024,Renewal,Contingency,Event Cancellation,SC-495,2024-09-24,2025-09-24,4597219.82,Number of Insureds,1626029.72,Each and Every Loss,67943.93,15779.27,Each and Every Loss,Claims Made,Worldwide,true
Q00023-L2-C2,Q00023-L2,Q00023,PAS-000023,2026-04-25 22:00:00.000,Fenwick Capital LLC 2024,Renewal,Contingency,Non-Appearance,SC-260,2024-09-24,2025-09-24,4287985.98,Turnover,1487101.2,Each and Every Loss,8099.99,6586.36,Aggregate,Occurrence,UK only,false
Q00024-L1-C1,Q00024-L1,Q00024,PAS-000024,2026-04-25 22:00:00.000,Kingsley Partners LLP 2025,Renewal,Cash in Transit and Specie,Cash in Transit,SC-937,2025-05-30,2026-05-30,10191006.59,Wage Roll,2969698.64,Each and Every Loss,92520.99,72562.53,Each and Every Loss,Occurrence,UK only,true
Q00024-L1-C2,Q00024-L1,Q00024,PAS-000024,2026-04-25 22:00:00.000,Kingsley Partners LLP 2025,Renewal,Cash in Transit and Specie,Vault,SC-556,2025-05-30,2026-05-30,3761981.19,Number of Insureds,1210113.68,Aggregate,190605.8,56897.8,Each and Every Loss,Claims Made,US excl. Worldwide,false
Q00025-L1-C1,Q00025-L1,Q00025,PAS-000025,2026-04-25 22:00:00.000,Maitland Technologies Inc 2025,Renewal,Contingency,Event Cancellation,SC-689,2025-03-22,2026-03-22,1666673.16,TIV,701773.03,Each Claim,42729.5,21500.63,Aggregate,Occurrence,UK only,true
Q00025-L2-C1,Q00025-L2,Q00025,PAS-000025,2026-04-25 22:00:00.000,Maitland Technologies Inc 2025,Renewal,Contingency,Event Cancellation,SC-283,2025-03-22,2026-03-22,4681886.44,TIV,2090215.71,Aggregate,185598.34,48825.4,Each and Every Loss,Occurrence,US excl. Worldwide,true
Q00026-L1-C1,Q00026-L1,Q00026,PAS-000026,2026-04-25 22:00:00.000,Glenshire Partners LLP 2024,Renewal,Directors and Officers,Entity Securities,SC-380,2024-09-26,2025-09-26,2198960.06,Turnover,562983.62,Aggregate,44539.71,25689.41,Each and Every Loss,Claims Made,US excl. Worldwide,true
Q00026-L1-C2,Q00026-L1,Q00026,PAS-000026,2026-04-25 22:00:00.000,Glenshire Partners LLP 2024,Renewal,Directors and Officers,Side B/C,SC-477,2024-09-26,2025-09-26,12535388.18,Wage Roll,4387331.0,Aggregate,73185.16,18735.87,Aggregate,Losses Discovered,Worldwide,false
Q00027-L1-C1,Q00027-L1,Q00027,PAS-000027,2026-04-25 22:00:00.000,Northwood Holdings Ltd 2025,Renewal,Directors and Officers,Side A,SC-618,2025-10-09,2026-10-09,2167759.79,Number of Insureds,845271.52,Aggregate,89511.63,21736.45,Each and Every Loss,Occurrence,US excl. Worldwide,true
Q00027-L2-C1,Q00027-L2,Q00027,PAS-000027,2026-04-25 22:00:00.000,Northwood Holdings Ltd 2025,Renewal,Directors and Officers,Side A,SC-356,2025-10-09,2026-10-09,3422933.18,Number of Insureds,1240876.85,Each and Every Loss,118220.63,46827.06,Aggregate,Claims Made,Worldwide,true
Q00028-L1-C1,Q00028-L1,Q00028,PAS-000028,2026-04-25 22:00:00.000,Kingsley Group plc 2025,Renewal,Cash in Transit and Specie,Cash in Transit,SC-661,2025-06-19,2026-06-19,5480800.27,Number of Insureds,2022935.0,Aggregate,57247.58,15551.41,Aggregate,Claims Made,Worldwide,true
Q00029-L1-C1,Q00029-L1,Q00029,PAS-000029,2026-04-25 22:00:00.000,Inverness Capital LLC 2024,Renewal,Directors and Officers,Entity Securities,SC-227,2024-12-02,2025-12-02,3919743.86,Turnover,1026402.49,Each Claim,24789.75,15065.49,Each and Every Loss,Claims Made,Worldwide excl. US,true
Q00029-L1-C2,Q00029-L1,Q00029,PAS-000029,2026-04-25 22:00:00.000,Inverness Capital LLC 2024,Renewal,Directors and Officers,Side A,SC-466,2024-12-02,2025-12-02,1758249.24,Turnover,510937.08,Each Claim,13491.55,10296.21,Aggregate,Claims Made,UK only,false
Q00029-L2-C1,Q00029-L2,Q00029,PAS-000029,2026-04-25 22:00:00.000,Inverness Capital LLC 2024,Renewal,Directors and Officers,Side A,SC-712,2024-12-02,2025-12-02,5282913.17,Turnover,1868935.44,Aggregate,82044.68,21665.0,Aggregate,Occurrence,Worldwide,true
Q00030-L1-C1,Q00030-L1,Q00030,PAS-000030,2026-04-25 22:00:00.000,Hartwell Group plc 2025,New,European Professional Indemnity,Professional Indemnity,SC-116,2025-01-29,2026-01-29,6478090.62,Wage Roll,465768.97,Aggregate,16405.22,9078.95,Each and Every Loss,Claims Made,Worldwide,true
Q00030-L2-C1,Q00030-L2,Q00030,PAS-000030,2026-04-25 22:00:00.000,Hartwell Group plc 2025,New,European Professional Indemnity,Cyber,SC-145,2025-01-29,2026-01-29,5918460.97,Turnover,2481237.51,Each Claim,106667.65,85151.15,Each and Every Loss,Losses Discovered,US excl. Worldwide,true
Q00031-L1-C1,Q00031-L1,Q00031,PAS-000031,2026-04-25 22:00:00.000,Kingsley Capital LLC 2025,Renewal,Contingency,Non-Appearance,SC-337,2025-09-01,2026-09-01,5151846.83,Wage Roll,2148479.58,Each Claim,126673.66,36118.73,Aggregate,Occurrence,Worldwide,true
Q00031-L1-C2,Q00031-L1,Q00031,PAS-000031,2026-04-25 22:00:00.000,Kingsley Capital LLC 2025,Renewal,Contingency,Event Cancellation,SC-773,2025-09-01,2026-09-01,6179979.17,Number of Insureds,791838.88,Each and Every Loss,37133.79,16394.89,Aggregate,Claims Made,Worldwide,false
Q00032-L1-C1,Q00032-L1,Q00032,PAS-000032,2026-04-25 22:00:00.000,Drummond Partners LLP 2024,Renewal,Cash in Transit and Specie,Vault,SC-204,2024-10-23,2025-10-23,12482422.4,Wage Roll,4274920.71,Aggregate,103533.22,81565.56,Aggregate,Losses Discovered,UK only,true
Q00033-L1-C1,Q00033-L1,Q00033,PAS-000033,2026-04-25 22:00:00.000,Carrington Resources Ltd 2025,Renewal,Cash in Transit and Specie,Cash in Transit,SC-971,2025-04-18,2026-04-18,4972879.08,Wage Roll,974482.55,Aggregate,79433.68,31098.49,Each and Every Loss,Losses Discovered,Worldwide excl. US,true
Q00033-L2-C1,Q00033-L2,Q00033,PAS-000033,2026-04-25 22:00:00.000,Carrington Resources Ltd 2025,Renewal,Cash in Transit and Specie,Vault,SC-821,2025-04-18,2026-04-18,7811401.42,Number of Insureds,627888.78,Aggregate,5442.74,1170.88,Each and Every Loss,Losses Discovered,EU only,true
Q00033-L3-C1,Q00033-L3,Q00033,PAS-000033,2026-04-25 22:00:00.000,Carrington Resources Ltd 2025,Renewal,Cash in Transit and Specie,Cash in Transit,SC-483,2025-04-18,2026-04-18,5814866.86,Wage Roll,2637337.18,Each Claim,168141.65,42549.7,Each and Every Loss,Claims Made,US excl. Worldwide,true
Q00034-L1-C1,Q00034-L1,Q00034,PAS-000034,2026-04-25 22:00:00.000,Langford Technologies Inc 2025,Renewal,Cash in Transit and Specie,Vault,SC-237,2025-06-06,2026-06-06,19794243.42,Turnover,3631781.05,Each and Every Loss,55657.96,30622.66,Aggregate,Losses Discovered,Worldwide excl. US,true
Q00034-L2-C1,Q00034-L2,Q00034,PAS-000034,2026-04-25 22:00:00.000,Langford Technologies Inc 2025,Renewal,Cash in Transit and Specie,Vault,SC-450,2025-06-06,2026-06-06,1753340.83,TIV,498637.49,Each and Every Loss,87591.05,24383.78,Each and Every Loss,Losses Discovered,Worldwide excl. US,true
Q00034-L2-C2,Q00034-L2,Q00034,PAS-000034,2026-04-25 22:00:00.000,Langford Technologies Inc 2025,Renewal,Cash in Transit and Specie,Cash in Transit,SC-633,2025-06-06,2026-06-06,1326710.33,Wage Roll,210962.92,Each Claim,26768.76,5785.93,Each and Every Loss,Losses Discovered,UK only,false
Q00035-L1-C1,Q00035-L1,Q00035,PAS-000035,2026-04-25 22:00:00.000,Glenshire Industries Inc 2025,Renewal,General Aviation,Liability,SC-193,2025-05-14,2026-05-14,8856116.07,Turnover,700320.37,Each Claim,84599.9,17571.37,Each and Every Loss,Claims Made,US excl. Worldwide,true
Q00035-L2-C1,Q00035-L2,Q00035,PAS-000035,2026-04-25 22:00:00.000,Glenshire Industries Inc 2025,Renewal,General Aviation,Hull,SC-280,2025-05-14,2026-05-14,18138748.34,TIV,2835803.89,Each and Every Loss,53418.12,13697.11,Each and Every Loss,Claims Made,UK only,true
Q00035-L2-C2,Q00035-L2,Q00035,PAS-000035,2026-04-25 22:00:00.000,Glenshire Industries Inc 2025,Renewal,General Aviation,War,SC-271,2025-05-14,2026-05-14,2561845.03,Number of Insureds,792608.78,Each and Every Loss,69293.63,38376.98,Aggregate,Occurrence,UK only,false
Q00036-L1-C1,Q00036-L1,Q00036,PAS-000036,2026-04-25 22:00:00.000,Hartwell Group plc 2025,New,Cash in Transit and Specie,Vault,SC-974,2025-04-27,2026-04-27,2959382.61,Wage Roll,710884.44,Aggregate,59972.72,21938.12,Each and Every Loss,Occurrence,UK only,true
