layer_id,quote_id,pas_id,_pdm_last_update_timestamp,rating_basis,conditional_premium_reduction,our_share_pct,our_share_pct_london,our_share_pct_non_london,london_estimated_signed_line,london_order_percentage,tech_gnwp,modtech_gnwp,sold_gnwp,tech_ggwp,modtech_ggwp,sold_ggwp,sold_ggwp_our_share,tech_elc,modtech_elc,tech_gg_elr,modtech_gg_elr,tech_gn_elr,modtech_gn_elr,commission,sold_to_modtech,modtech_to_tech
Q00001-L1,Q00001,PAS-000001,2026-04-25 22:00:00.000,Limit,Conditional discount applied,1.0,1.0,0.0,1.0,0.7709,118078.93,129547.59,121370.61,132385.06,145243.24,136075.55,7878.77,75755.88,80105.67,0.572239,0.551528,0.64157,0.618349,26231.73,0.93688,1.097127
Q00001-L2,Q00001,PAS-000001,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.7709,186681.05,169402.38,166540.57,212425.64,192764.12,189507.64,10972.49,106980.21,97159.42,0.503613,0.504033,0.573064,0.573542,40367.23,0.983106,0.907443
Q00002-L1,Q00002,PAS-000002,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.5435,56058.05,48378.83,43645.29,62127.31,53616.69,48370.66,13993.63,41202.94,36708.14,0.663202,0.68464,0.735005,0.758764,8527.48,0.902157,0.863013
Q00002-L2,Q00002,PAS-000002,2026-04-25 22:00:00.000,Exposure,Conditional discount applied,1.0,1.0,0.0,1.0,0.5435,62178.04,54221.44,47450.04,67424.52,58796.55,51453.79,14885.58,42907.61,38256.94,0.63638,0.650666,0.690077,0.705568,7384.42,0.875116,0.872035
Q00003-L1,Q00003,PAS-000003,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.6302,108949.38,118850.96,96087.75,122143.38,133244.07,107724.19,24356.44,64314.16,70119.68,0.526546,0.52625,0.590312,0.58998,20758.92,0.808473,1.090882
Q00004-L1,Q00004,PAS-000004,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6708,92998.09,100688.07,93213.92,99421.31,107642.42,99652.04,9247.71,67917.5,73611.14,0.683128,0.683849,0.730311,0.731081,12044.36,0.925769,1.08269
Q00004-L2,Q00004,PAS-000004,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6708,110711.56,112234.37,119061.56,117342.99,118957.01,126193.14,11710.72,67917.72,68159.49,0.578797,0.572976,0.613465,0.607296,13457.1,1.06083,1.013755
Q00004-L3,Q00004,PAS-000004,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6708,83387.81,75055.5,58561.12,92939.34,83652.62,65268.91,6056.95,63492.38,57431.48,0.683159,0.686547,0.761411,0.765187,12036.84,0.780238,0.900078
Q00005-L1,Q00005,PAS-000005,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.5643,199729.36,210490.52,182292.58,227541.61,239801.26,207676.76,36301.9,130741.75,136462.61,0.574584,0.569065,0.654595,0.648308,44562.98,0.866037,1.053879
Q00006-L1,Q00006,PAS-000006,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.7684,108705.3,106157.2,99070.98,119160.14,116366.97,108599.23,9578.45,68287.82,64133.06,0.573076,0.551128,0.628192,0.604133,17384.52,0.933248,0.97656
Q00007-L1,Q00007,PAS-000007,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.8239,74695.13,68161.95,62184.87,81038.94,73950.9,67466.19,6038.22,49391.03,43913.96,0.609473,0.593826,0.661235,0.644259,9735.79,0.912311,0.912535
Q00007-L2,Q00007,PAS-000007,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.8239,186455.83,190259.29,193923.62,210601.69,214897.68,219036.54,19603.77,123219.92,122688.43,0.585085,0.570916,0.660853,0.644849,44467.36,1.01926,1.020399
Q00007-L3,Q00007,PAS-000007,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.8239,305748.78,321048.56,291078.8,331069.73,347636.58,315184.84,28209.04,205830.06,220470.16,0.621712,0.634197,0.6732,0.686719,44524.71,0.90665,1.05004
Q00008-L1,Q00008,PAS-000008,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.9434,364136.35,345832.19,336908.74,393937.52,374135.32,364481.58,62763.73,246719.44,226783.87,0.626291,0.606155,0.677547,0.655763,50973.93,0.974197,0.949733
Q00008-L2,Q00008,PAS-000008,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.9434,83965.46,87033.48,89967.67,89731.85,93010.57,96146.27,16556.39,60416.15,60963.31,0.673297,0.655445,0.719536,0.700458,11563.11,1.033713,1.036539
Q00009-L1,Q00009,PAS-000009,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.8926,204947.57,185949.32,185582.21,230985.43,209573.52,209159.76,35306.17,129503.56,120776.32,0.560657,0.576296,0.631886,0.649512,41839.55,0.998026,0.907302
Q00010-L1,Q00010,PAS-000010,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.8185,1095335.52,932848.98,937619.48,1247320.93,1062288.26,1067720.69,201265.35,816071.45,686060.08,0.654259,0.645832,0.745042,0.735446,228496.9,1.005114,0.851656
Q00011-L1,Q00011,PAS-000011,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.694,99947.04,106968.0,100151.66,107539.89,115094.22,107760.05,27144.76,59174.7,65005.14,0.550258,0.564799,0.592061,0.607706,14142.41,0.936277,1.070247
Q00012-L1,Q00012,PAS-000012,2026-04-25 22:00:00.000,Exposure,Conditional discount applied,1.0,1.0,0.0,1.0,0.5339,150058.56,147272.55,133823.45,170613.0,167445.38,152154.07,14591.58,83656.06,80849.09,0.490326,0.482839,0.557489,0.548976,32244.51,0.908679,0.981434
Q00012-L2,Q00012,PAS-000012,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.5339,103947.82,100236.78,83660.43,114086.12,110013.14,91820.05,8805.54,64717.89,59339.56,0.567272,0.539386,0.6226,0.591994,14869.03,0.834628,0.964299
Q00013-L1,Q00013,PAS-000013,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.9434,213365.44,227332.45,194488.64,229354.59,244368.26,209063.2,31422.2,130571.94,145498.24,0.569302,0.595406,0.611964,0.640024,27117.04,0.855525,1.065461
Q00014-L1,Q00014,PAS-000014,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.8837,185053.03,176908.05,160616.85,207090.5,197975.56,179744.28,11557.56,117317.69,111039.14,0.566504,0.560873,0.633968,0.627666,34183.98,0.907911,0.955986
Q00015-L1,Q00015,PAS-000015,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.9206,359517.71,378769.05,366412.8,404091.68,425729.84,411841.64,63753.09,243655.3,265849.0,0.60297,0.624455,0.677728,0.701876,80835.48,0.967378,1.053548
Q00016-L1,Q00016,PAS-000016,2026-04-25 22:00:00.000,Limit,Conditional discount applied,1.0,1.0,0.0,1.0,0.5959,130616.47,135140.44,124026.21,137596.85,142362.59,130654.4,39144.06,84502.3,84233.29,0.61413,0.591681,0.64695,0.623302,12583.87,0.917758,1.034636
Q00017-L1,Q00017,PAS-000017,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.8952,275528.81,267718.96,233504.6,311116.72,302298.13,263664.57,49753.5,154564.26,144160.42,0.496805,0.476882,0.560973,0.538477,53420.08,0.8722,0.971655
Q00018-L1,Q00018,PAS-000018,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.847,109848.8,100354.83,100282.45,116516.16,106445.95,106369.17,16582.95,79229.15,70642.74,0.679984,0.663649,0.721256,0.70393,11476.85,0.999279,0.913572
Q00018-L2,Q00018,PAS-000018,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.847,158389.23,150935.47,135016.81,176177.71,167886.82,150180.36,23413.12,109174.92,104836.74,0.619686,0.624449,0.689282,0.69458,27265.01,0.894533,0.95294
Q00019-L1,Q00019,PAS-000019,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.9375,82505.77,90330.88,79503.06,89135.85,97589.78,85891.85,5196.46,55064.53,61943.39,0.61776,0.634732,0.667402,0.685739,11827.16,0.880132,1.094843
Q00020-L1,Q00020,PAS-000020,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.5112,138511.5,150859.61,152201.8,153567.84,167258.2,168746.28,49628.28,105763.27,114291.31,0.688707,0.683323,0.76357,0.7576,29844.81,1.008897,1.089149
Q00020-L2,Q00020,PAS-000020,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.5112,149845.56,161348.94,132081.65,162130.49,174576.97,142910.23,42029.9,93219.05,101911.19,0.574963,0.583761,0.622101,0.63162,20016.16,0.818609,1.076768
Q00021-L1,Q00021,PAS-000021,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6003,109806.96,114775.01,119123.98,122839.24,128396.92,133262.03,18310.2,73550.37,76495.88,0.598753,0.595777,0.669815,0.666485,25276.24,1.037891,1.045244
Q00021-L2,Q00021,PAS-000021,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6003,855604.29,754009.82,654596.48,918891.6,809782.39,703015.65,96594.35,616968.84,557288.54,0.671427,0.688195,0.721091,0.7391,90168.74,0.868154,0.88126
Q00022-L1,Q00022,PAS-000022,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.7685,1942935.54,1881337.59,1517471.17,2177739.48,2108697.4,1700857.69,331837.34,1302769.45,1324037.53,0.598221,0.627894,0.670516,0.703775,327227.57,0.806592,0.968296
Q00023-L1,Q00023,PAS-000023,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.6413,316614.75,275796.09,285269.82,343861.84,299530.42,309819.44,20912.81,190840.13,170186.28,0.554991,0.568177,0.602752,0.617073,45208.69,1.034351,0.871078
Q00023-L2,Q00023,PAS-000023,2026-04-25 22:00:00.000,Exposure,Conditional discount applied,1.0,1.0,0.0,1.0,0.6413,81956.08,70382.96,63042.88,92988.78,79857.71,71529.53,4828.24,61366.7,52528.14,0.659937,0.657772,0.748775,0.746319,14959.5,0.895712,0.858789
Q00024-L1,Q00024,PAS-000024,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.7466,139634.86,137838.64,115737.92,158881.16,156837.36,131690.43,36307.05,94118.94,93752.12,0.592386,0.597766,0.674036,0.680158,28040.16,0.839662,0.987136
Q00025-L1,Q00025,PAS-000025,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.7987,213744.54,215870.58,200461.42,242387.26,244798.19,227324.15,53193.85,141238.09,138750.62,0.582696,0.566796,0.66078,0.642749,47376.75,0.928619,1.009947
Q00025-L2,Q00025,PAS-000025,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.7987,74224.2,70739.44,59863.67,78195.9,74524.68,63066.94,14757.67,49757.14,48645.94,0.636314,0.652749,0.670363,0.687678,6081.15,0.846256,0.953051
Q00026-L1,Q00026,PAS-000026,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.6798,123439.16,120104.19,117207.55,133083.85,129488.31,126365.35,24502.24,89635.34,89812.31,0.673525,0.693594,0.72615,0.747787,16988.25,0.975882,0.972983
Q00027-L1,Q00027,PAS-000027,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.9446,277077.51,273490.2,234086.93,313493.6,309434.81,264852.8,43462.34,180248.47,173465.08,0.574967,0.560587,0.650534,0.634264,54384.08,0.855924,0.987053
Q00027-L2,Q00027,PAS-000027,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.9446,442183.57,384612.35,363982.49,485247.2,422069.2,399430.23,65546.5,324558.58,285497.96,0.668852,0.676425,0.733991,0.742301,64603.8,0.946362,0.869802
Q00028-L1,Q00028,PAS-000028,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6223,97050.33,98226.02,91181.32,104373.33,105637.74,98061.47,11630.09,57574.15,55756.99,0.551617,0.527813,0.59324,0.56764,12794.86,0.928281,1.012114
Q00029-L1,Q00029,PAS-000029,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.9072,167225.4,171425.79,157900.75,180598.4,185134.69,170528.06,26244.27,97825.91,104993.58,0.541677,0.56712,0.584994,0.612472,23384.56,0.921103,1.025118
